species	scope	eligibility	endpoint_status	mapped_orthogroups	positive_cells	negative_cells	auroc	auroc_lower_95	auroc_upper_95	average_precision	ap_lower_95	ap_upper_95	smd	smd_lower_95	smd_upper_95	interval_type	bootstrap_n	empirical_p	source_path	source_sha256	authority_version	replicate	exclusion_reason
esa	pooled	eligible	primary_pass	16	221	15160	0.894943826932031	0.871719867417233	0.917295126493869	0.401197035141741	0.34215889722433	0.462717727977985	1.5057045760467	1.36486066092544	1.67274111542847	conditional_stratified_cell_bootstrap_percentile	2000	0.00199600798403194	internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	ddbf41e4f41ca573baab5f53a53116731b614001fe040794f77e9d97df499447;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1+uncertainty_v1		
sir	pooled	eligible	primary_pass	16	224	17675	0.925660486967064	0.901351062083249	0.949529952389372	0.676476238369659	0.619906600426385	0.733153531997	1.81901347279272	1.65984704875318	2.00812928527286	conditional_stratified_cell_bootstrap_percentile	2000	0.00199600798403194	internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	ddbf41e4f41ca573baab5f53a53116731b614001fe040794f77e9d97df499447;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1+uncertainty_v1		
esa	replicate	eligible	primary_pass		118	7615	0.877987246402618	0.84686053952391	0.907659712098111	0.295604439985078	0.21632750008507	0.380125518068508	1.36696202029369	1.20352292946628	1.57485049851352	conditional_stratified_cell_bootstrap_percentile	2000		internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	9bb6a7d91aafe6ec9af08ac4722e4111424b653c44443467524b0757b2c30a13;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1+uncertainty_v1	R1	
esa	replicate	eligible	primary_pass		103	7545	0.919370508341536	0.88188836238234	0.951745160107317	0.523768301288762	0.429164661061938	0.611075166557099	1.76894358038013	1.53714030581394	2.06114320054559	conditional_stratified_cell_bootstrap_percentile	2000		internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	9bb6a7d91aafe6ec9af08ac4722e4111424b653c44443467524b0757b2c30a13;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1+uncertainty_v1	R2	
sir	replicate	eligible	primary_pass		106	9694	0.914855911651245	0.873527281512392	0.950122182170648	0.616376003697104	0.52429914967669	0.703200437736622	1.62558103512988	1.41292658428869	1.87748162319489	conditional_stratified_cell_bootstrap_percentile	2000		internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	9bb6a7d91aafe6ec9af08ac4722e4111424b653c44443467524b0757b2c30a13;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1+uncertainty_v1	R1	
sir	replicate	eligible	primary_pass		118	7981	0.936525625479157	0.904762064670542	0.964878025989692	0.741845163332945	0.670272807307926	0.812289596684045	2.02696052199159	1.79396187006424	2.32212997677057	conditional_stratified_cell_bootstrap_percentile	2000		internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	9bb6a7d91aafe6ec9af08ac4722e4111424b653c44443467524b0757b2c30a13;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1+uncertainty_v1	R2	
spa	replicate	ineligible	excluded_before_scoring		57	6225													internal_source_record:not_publicly_portable	8b49a4a66098cae5cbadbf065c5d214591165f20e400ab60777b3570c9b60ab6	gse268881_expression_blind_eligibility_v1	R1	R1 has 57 xylem cells, below frozen minimum 100; pooling or relabelling prohibited
spa	replicate	ineligible	excluded_before_scoring		107	6238													internal_source_record:not_publicly_portable	8b49a4a66098cae5cbadbf065c5d214591165f20e400ab60777b3570c9b60ab6	gse268881_expression_blind_eligibility_v1	R2	R1 has 57 xylem cells, below frozen minimum 100; pooling or relabelling prohibited
