species	scope	record_type	comparator	orthogroups	positive_cells	negative_cells	auroc	average_precision	smd	auroc_lower_95	auroc_upper_95	interval_type	source_path	source_sha256	authority_version	random_programs	random_auc_median	random_auc_q95	empirical_p	note	estimand	estimate	lower_95	upper_95	bootstrap_n
esa	R1	method	anti_circular		118	7615	0.87608978710618	0.282289679264023	1.36197332514783				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	9bb6a7d91aafe6ec9af08ac4722e4111424b653c44443467524b0757b2c30a13;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1										
esa	R2	method	anti_circular		103	7545	0.908270763766913	0.469653244800051	1.72623124973457				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	9bb6a7d91aafe6ec9af08ac4722e4111424b653c44443467524b0757b2c30a13;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1										
esa	R1	method	phloem_off_target		118	7615	0.516305908276484	0.0148888910741744	-0.0182531595292461				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	9bb6a7d91aafe6ec9af08ac4722e4111424b653c44443467524b0757b2c30a13;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1										
esa	R2	method	phloem_off_target		103	7545	0.466422178900706	0.0114441720164617	-0.173834522396713				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	9bb6a7d91aafe6ec9af08ac4722e4111424b653c44443467524b0757b2c30a13;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1										
esa	R1	method	equal_weight		118	7615	0.879080650366694	0.323682802716803	1.56201153499104				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	9bb6a7d91aafe6ec9af08ac4722e4111424b653c44443467524b0757b2c30a13;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1										
esa	R2	method	equal_weight		103	7545	0.920497725620388	0.614475706445361	2.0127058066187				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	9bb6a7d91aafe6ec9af08ac4722e4111424b653c44443467524b0757b2c30a13;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1										
sir	R1	method	complete_family		106	9694	0.914855911651245	0.616376003697104	1.62558103512988	0.873527281512392	0.950122182170648	conditional_stratified_cell_bootstrap_percentile	internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	9bb6a7d91aafe6ec9af08ac4722e4111424b653c44443467524b0757b2c30a13;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1										
sir	R2	method	complete_family		118	7981	0.936525625479157	0.741845163332945	2.02696052199159	0.904762064670542	0.964878025989692	conditional_stratified_cell_bootstrap_percentile	internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	9bb6a7d91aafe6ec9af08ac4722e4111424b653c44443467524b0757b2c30a13;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1										
sir	R1	method	single_gene		106	9694	0.912697408628562	0.654837941229162	1.5837606672761	0.873997714497589	0.945659820215578	conditional_stratified_cell_bootstrap_percentile	internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	9bb6a7d91aafe6ec9af08ac4722e4111424b653c44443467524b0757b2c30a13;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1										
sir	R2	method	single_gene		118	7981	0.950310483160217	0.781770926909716	1.99203825950125	0.924941890591851	0.973319393092493	conditional_stratified_cell_bootstrap_percentile	internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	9bb6a7d91aafe6ec9af08ac4722e4111424b653c44443467524b0757b2c30a13;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1										
sir	R1	method	anti_circular		106	9694	0.906686104223192	0.573695666613172	1.58964437389589				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	9bb6a7d91aafe6ec9af08ac4722e4111424b653c44443467524b0757b2c30a13;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1										
sir	R2	method	anti_circular		118	7981	0.933709084499415	0.708665456803312	2.01755377683559				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	9bb6a7d91aafe6ec9af08ac4722e4111424b653c44443467524b0757b2c30a13;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1										
sir	R1	method	phloem_off_target		106	9694	0.476340159834327	0.00956208180812353	-0.113138289024286				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	9bb6a7d91aafe6ec9af08ac4722e4111424b653c44443467524b0757b2c30a13;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1										
sir	R2	method	phloem_off_target		118	7981	0.396051321040012	0.010991787683617	-0.383376394298122				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	9bb6a7d91aafe6ec9af08ac4722e4111424b653c44443467524b0757b2c30a13;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1										
