dataset_id	h5ad_path	readable	file_bytes	n_cells	n_genes	observed_species	proposed_species	species_status	accession	observed_tissue	proposed_tissue	tissue_status	unknown_cells	unknown_fraction	expression_class	storage_kind	expression_dtype	source_expression_path	source_annotation_path	source_expression_sha256	source_annotation_sha256	schema_version
Arabidopsis thaliana_PRJDB14071	Arabidopsis thaliana_PRJDB14071.h5ad	True	73713057	18280	19051	not explicitly recorded	Arabidopsis thaliana	candidate_from_dataset_id	not explicitly recorded	not explicitly recorded		missing	12006	0.6567833698030635	normalized_nonnegative_continuous	csr	float32	Arabidopsis thaliana_PRJDB14071.csv	Arabidopsis thaliana_PRJDB14071.anno.csv	9229e998688eb1d24be39e23de73ea2ac42729d3b002861953fb206f2bf868d5	8eefdbb75f594f1a2a068f99b39f4c11bb2f58cbe19164560ce2c8e7637bec79	1.0.0
Arabidopsis thaliana_PRJEB47924	Arabidopsis thaliana_PRJEB47924.h5ad	True	29808371	2286	19120	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJEB47924	not explicitly recorded		missing	1565	0.6846019247594051	nonnegative_integer_unverified	csr	int64	Arabidopsis thaliana_PRJEB47924.csv	Arabidopsis thaliana_PRJEB47924.anno.csv	d63eeb29c9dca56f4bbb8b6c13b8d38ef420805f4f58f90b278889cf4a5ed46b	ec245dff31219ea342e291dea121733528d675c4cf95fa1292f4b7acdb1533d3	1.0.0
Arabidopsis thaliana_PRJEB61052	Arabidopsis thaliana_PRJEB61052.h5ad	True	1412012811	54066	6466	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJEB61052	not explicitly recorded		missing	32902	0.6085525098953132	scaled_continuous	dense	float32	Arabidopsis thaliana_PRJEB61052.csv	Arabidopsis thaliana_PRJEB61052.anno.csv	cbccac1d86d38b890db09f3cabcfc7c1f12a1c9f976bec16242232e8e8ed3bb7	7b705dc9de199355fb778ccb04fafa1673e73f701a167923bc1a2480018b1365	1.0.0
Arabidopsis thaliana_PRJNA471914	Arabidopsis thaliana_PRJNA471914.h5ad	True	110164303	5045	5312	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA471914	not explicitly recorded		missing	841	0.16669970267591674	scaled_continuous	dense	float32	Arabidopsis thaliana_PRJNA471914.csv	Arabidopsis thaliana_PRJNA471914.anno.csv	bf7afd1b7d5cf6289b79a52261edf1eaaa93828a36e7bb6e1451a6aca6fd55e9	84c4860b741543f088f276a2f2a42fea92a2b9d8c97321df444fbfdb03fd24c2	1.0.0
Arabidopsis thaliana_PRJNA497883	Arabidopsis thaliana_PRJNA497883.h5ad	True	251041014	15869	3851	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA497883	not explicitly recorded		missing	0	0.0	scaled_continuous	dense	float32	Arabidopsis thaliana_PRJNA497883.csv	Arabidopsis thaliana_PRJNA497883.anno.csv	1e891fe8269f68890f4b24e726a6bccca92fe127ebc7a759f8c5ee0b420693bf	22c00f43ad00912a07d4b1a06dff9ece516f872939e7117dffd6a3708a366338	1.0.0
Arabidopsis thaliana_PRJNA506007	Arabidopsis thaliana_PRJNA506007.h5ad	True	426526678	15843	6635	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA506007	not explicitly recorded		missing	0	0.0	scaled_continuous	dense	float32	Arabidopsis thaliana_PRJNA506007.csv	Arabidopsis thaliana_PRJNA506007.anno.csv	00e7bd1bc996974b22f0d17989e2bf861e6ef2fd515d6cb660d4e2a994935765	4dc94fd5dabf9fc880615e62b954bddb08a140ef27f62904ba0b4be5a8abe459	1.0.0
Arabidopsis thaliana_PRJNA507252	Arabidopsis thaliana_PRJNA507252.h5ad	True	301246820	17537	4214	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA507252	not explicitly recorded		missing	0	0.0	scaled_continuous	dense	float32	Arabidopsis thaliana_PRJNA507252.csv	Arabidopsis thaliana_PRJNA507252.anno.csv	60689416f1a70c29cb243a1afc339e452b957c4326163e347d00e25ab03ea0b4	cd34477c0b02b2401c16ce5a46e840c0c566b72797aa971a23c96e892b15ec1f	1.0.0
Arabidopsis thaliana_PRJNA509920	Arabidopsis thaliana_PRJNA509920.h5ad	True	111900696	9928	23898	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA509920	not explicitly recorded		missing	0	0.0	nonnegative_integer_unverified	csr	int64	Arabidopsis thaliana_PRJNA509920.csv	Arabidopsis thaliana_PRJNA509920.anno.csv	6bc018f5188ddf005259e4c2969289bc788a4b70bb33f43f72109b69367ae3ca	f76f4518101c6d7db558040931370b831fa113785ed8d703693c6b9602d63a2b	1.0.0
Arabidopsis thaliana_PRJNA517021	Arabidopsis thaliana_PRJNA517021.h5ad	True	43628466	12674	2000	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA517021	not explicitly recorded		missing	0	0.0	scaled_continuous	dense	float32	Arabidopsis thaliana_PRJNA517021.csv	Arabidopsis thaliana_PRJNA517021.anno.csv	95cc0c16373c37c79981951ed854875a33cba26a5d24344713fc349d14ae7da8	f3157e3e8d5e831b0d152465779afa717dfb9a4b5dd552dfa6679752eeb98b04	1.0.0
Arabidopsis thaliana_PRJNA551314	Arabidopsis thaliana_PRJNA551314.h5ad	True	41653290	777	35858	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA551314	not explicitly recorded		missing	227	0.29214929214929214	normalized_nonnegative_continuous	csr	float32	Arabidopsis thaliana_PRJNA551314.csv	Arabidopsis thaliana_PRJNA551314.anno.csv	5541fd69fff14cc1463ec4a186ca47173cc1ae153babbfb2d22c53731ea191ce	16f55da4364a85e0c665ee8ccd4c737ad5472ad22acb49ed33cdb3e3482e0c15	1.0.0
Arabidopsis thaliana_PRJNA577177	Arabidopsis thaliana_PRJNA577177.h5ad	True	209314991	12492	22368	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA577177	not explicitly recorded		missing	1815	0.1452929875120077	normalized_nonnegative_continuous	csr	float32	Arabidopsis thaliana_PRJNA577177.csv	Arabidopsis thaliana_PRJNA577177.anno.csv	b640e18823e55dcf8326189559af4aa6d463a45b3af3fdfd02246c66123d24ec	bd1e7a0ac84abc8a2f24d4a15311e68f33398da945ef069ecc0a37905c849477	1.0.0
Arabidopsis thaliana_PRJNA594539	Arabidopsis thaliana_PRJNA594539.h5ad	True	316617452	15930	24027	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA594539	not explicitly recorded		missing	0	0.0	nonnegative_integer_unverified	csr	int64	Arabidopsis thaliana_PRJNA594539.csv	Arabidopsis thaliana_PRJNA594539.anno.csv	537a3a2d66c5b1bb385fd2ca6411b99dea533645eb2651df238108579cc05ce2	7ffeb5ce96d7f067af07f3dd2339ca5ffccf6457c643d56ae20cc7be170afe2e	1.0.0
