dataset_id	species	tissue	tissue_status	label_column	cells	labeled_cells	unknown_cells	unknown_fraction	readable	integrity_status	root_panel_status	root_accepted	root_reason	root_candidate_label_count	root_labels_ge_100_cells	root_candidate_cells	leaf_panel_status	leaf_accepted	leaf_reason	leaf_candidate_label_count	leaf_labels_ge_100_cells	leaf_candidate_cells	vascular_panel_status	vascular_accepted	vascular_reason	vascular_candidate_label_count	vascular_labels_ge_100_cells	vascular_candidate_cells	source_path	source_sha256	authority_version	direct_source_object_path	direct_source_object_sha256	gap_flags
Arabidopsis thaliana_PRJDB14071	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	18280	6274	12006	0.6567833698030635	True	readable	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	candidate_include	True	passes_provisional_panel_gates	4	4	3622	exclude	False	fewer_than_two_candidate_labels_with_100_cells	1	1	258	/data/datasets/Bioinformatics/audit_20260910/audit_datasets.csv;/workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1
Arabidopsis thaliana_PRJEB47924	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	2286	721	1565	0.6846019247594051	True	readable	exclude	False	orthogroup_coverage_below_60pct_or_unavailable;fewer_than_two_candidate_labels_with_100_cells	0	0	0	exclude	False	orthogroup_coverage_below_60pct_or_unavailable;fewer_than_two_candidate_labels_with_100_cells	0	0	0	exclude	False	orthogroup_coverage_below_60pct_or_unavailable;fewer_than_two_candidate_labels_with_100_cells	0	0	0	/data/datasets/Bioinformatics/audit_20260910/audit_datasets.csv;/workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1
Arabidopsis thaliana_PRJEB61052	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	54066	21164	32902	0.6085525098953132	True	readable	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	candidate_include	True	passes_provisional_panel_gates	3	3	16108	candidate_include	True	passes_provisional_panel_gates	2	2	2182	/data/datasets/Bioinformatics/audit_20260910/audit_datasets.csv;/workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1
Arabidopsis thaliana_PRJNA471914	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	5045	4204	841	0.16669970267591674	True	readable	candidate_include	True	passes_provisional_panel_gates	5	5	2313	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	exclude	False	fewer_than_two_candidate_labels_with_100_cells	1	1	269	/data/datasets/Bioinformatics/audit_20260910/audit_datasets.csv;/workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1
Arabidopsis thaliana_PRJNA497883	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	15869	15869	0	0.0	True	readable	candidate_include	True	passes_provisional_panel_gates	5	5	7618	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	candidate_include	True	passes_provisional_panel_gates	2	2	2582	/data/datasets/Bioinformatics/audit_20260910/audit_datasets.csv;/workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1
Arabidopsis thaliana_PRJNA506007	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	15843	15843	0	0.0	True	readable	candidate_include	True	passes_provisional_panel_gates	4	3	3858	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	/data/datasets/Bioinformatics/audit_20260910/audit_datasets.csv;/workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1
Arabidopsis thaliana_PRJNA507252	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	17537	17537	0	0.0	True	readable	candidate_include	True	passes_provisional_panel_gates	5	5	10546	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	candidate_include	True	passes_provisional_panel_gates	2	2	1165	/data/datasets/Bioinformatics/audit_20260910/audit_datasets.csv;/workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1
Arabidopsis thaliana_PRJNA509920	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	9928	9928	0	0.0	True	readable	candidate_include	True	passes_provisional_panel_gates	4	4	3749	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	/data/datasets/Bioinformatics/audit_20260910/audit_datasets.csv;/workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1
Arabidopsis thaliana_PRJNA517021	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	12674	12674	0	0.0	True	readable	candidate_include	True	passes_provisional_panel_gates	5	5	7770	exclude	False	fewer_than_two_candidate_labels_with_100_cells	0	0	0	candidate_include	True	passes_provisional_panel_gates	2	2	1187	/data/datasets/Bioinformatics/audit_20260910/audit_datasets.csv;/workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1
Arabidopsis thaliana_PRJNA551314	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	777	550	227	0.29214929214929214	True	readable	exclude	False	orthogroup_coverage_below_60pct_or_unavailable;fewer_than_two_candidate_labels_with_100_cells	0	0	0	exclude	False	orthogroup_coverage_below_60pct_or_unavailable;fewer_than_two_candidate_labels_with_100_cells	0	0	0	exclude	False	orthogroup_coverage_below_60pct_or_unavailable;fewer_than_two_candidate_labels_with_100_cells	0	0	0	/data/datasets/Bioinformatics/audit_20260910/audit_datasets.csv;/workspace/projects/PhyloOpenCell/metadata/dataset_manifest.tsv	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1			direct_source_object_path_and_sha256_not_available_in_manuscript_evidence_v1
