panel	source_label	ontology_id	ontology_name	governed_level	governed_label	parent_label	mapping_status	mapping_reason	accepted	approval_scope	aggregate_cells	aggregate_datasets	aggregate_species	source_path	source_hash
root	Root cap	PO:0020123	root cap	pilot_major_cell_family	root_cap	root	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	pilot_baselines_only	11865	5	5	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
root	Root cortex	PO:0000258	root cortex	pilot_major_cell_family	ground_tissue	root	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	pilot_baselines_only	88100	31	8	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
root	Root endodermis	PO:0005059	root endodermis	pilot_major_cell_family	ground_tissue	root	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	pilot_baselines_only	62778	33	10	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
root	Root epidermis	PO:0006036	root epidermis	pilot_major_cell_family	epidermal_system	root	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	pilot_baselines_only	58265	15	10	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
root	Root hair cell	PO:0000256	root hair cell	pilot_major_cell_family	epidermal_system	root	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	pilot_baselines_only	55357	24	7	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
root	Root procambium	PO:0006307	root procambium	pilot_major_cell_family	stele_lineage	root	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	pilot_baselines_only	28885	13	3	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
root	Root stele	PO:0020124	root stele	pilot_major_cell_family	stele_lineage	root	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	pilot_baselines_only	41801	11	6	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
vascular	Companion cell	PO:0000071	companion cell	pilot_major_cell_family	phloem_lineage	vascular	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	pilot_baselines_only	23068	34	10	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
vascular	Leaf vascular system	PO:0000036	leaf vascular system	pilot_major_cell_family	vascular_unspecified	vascular	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	pilot_baselines_only	30817	16	10	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
vascular	Metaxylem	PO:0000372	metaxylem	pilot_major_cell_family	xylem_lineage	vascular	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	pilot_baselines_only	2113	4	4	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
vascular	Phloem	PO:0005417	phloem	pilot_major_cell_family	phloem_lineage	vascular	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	pilot_baselines_only	28787	24	15	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
vascular	Phloem parenchyma cell	PO:0025627	phloem parenchyma cell	pilot_major_cell_family	phloem_lineage	vascular	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	pilot_baselines_only	21092	12	7	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
vascular	Root procambium	PO:0006307	root procambium	pilot_major_cell_family	procambial_lineage	vascular	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	pilot_baselines_only	28885	13	3	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
vascular	Root vascular system	PO:0003011	root vascular system	pilot_major_cell_family	vascular_unspecified	vascular	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	pilot_baselines_only	26903	5	5	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
vascular	Shoot system vascular system	PO:0025205	shoot system vascular system	pilot_major_cell_family	vascular_unspecified	vascular	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	pilot_baselines_only	14411	5	4	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
vascular	Sieve element	PO:0025406	sieve element	pilot_major_cell_family	phloem_lineage	vascular	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	pilot_baselines_only	2211	5	4	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
vascular	Stem vascular cambium						excluded	Cross-panel reuse is intentional for organ-specific vascular/procambial labels; final biological acceptance still required.	False	excluded	7212	4	3	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
vascular	Xylem	PO:0005352	xylem	pilot_major_cell_family	xylem_lineage	vascular	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	pilot_baselines_only	36114	26	16	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
vascular	Xylem parenchyma cell						excluded	Cross-panel reuse is intentional for organ-specific vascular/procambial labels; final biological acceptance still required.	False	excluded	12780	5	4	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
