record_id	validation_stage	source_table	species	cohort	contrast_id	panel	coarse_label	role	endpoint_status	eligibility	record_scope	replicate	record_type	comparator	estimand	mapped_orthogroups	positive_cells	negative_cells	auroc	auroc_lower_95	auroc_upper_95	average_precision	ap_lower_95	ap_upper_95	smd	smd_lower_95	smd_upper_95	empirical_p	positive_replicate_directions	required_positive_replicate_directions	single_gene_auroc	family_minus_single_auroc	estimate	lower_95	upper_95	interval_type	bootstrap_n	random_programs	random_auc_median	random_auc_q95	exclusion_reason	note	source_path	source_sha256	provenance_version	gap_flags
independent_validation_05	third_round_v3	figure2_independent_validation.tsv	moricandia		moricandia_leaf_epidermal_v1	leaf	epidermal_system	primary	primary_pass		pooled					7	1558	8227	0.9581707387288763			0.9391062988728834			2.2387984962926684			0.001996007984031936	3	3	0.801263272112099	0.15690746661677724											validation_summary.tsv;method_advantage.tsv;method_comparison_pooled.tsv;method_comparison_by_replicate.tsv	910467374a45b2391a45d5346e8b63f08b373253f3d1b934d1f0ccc100fbcd81;6b3b0861821bdc5bdafbfcc1b54d94b62745108a89b0828e79b39386ee02c19d;cfcce9e01165f93ec89b1b9a09b18654a9acaf78f393352c3065122f293b0b18;b12643f062ca4e7e68af4d725674c92cc44a99530f1b5a7e0f4f7a6c90ad7d77	independent_program_validation_v3	pooled_summary_record_not_replicate_level
independent_validation_06	third_round_v3	figure2_independent_validation.tsv	moricandia		moricandia_leaf_epidermal_v1	leaf	epidermal_system	primary	primary_pass		replicate	0				7	461	2288	0.9396758339274608			0.91292704064398			2.009820363597222						0.7639623120913793	0.17571352183608147											validation_summary.tsv;method_comparison_by_replicate.tsv	910467374a45b2391a45d5346e8b63f08b373253f3d1b934d1f0ccc100fbcd81;b12643f062ca4e7e68af4d725674c92cc44a99530f1b5a7e0f4f7a6c90ad7d77	independent_program_validation_v3	
independent_validation_07	third_round_v3	figure2_independent_validation.tsv	moricandia		moricandia_leaf_epidermal_v1	leaf	epidermal_system	primary	primary_pass		replicate	1				7	530	2673	0.9685968701691973			0.9539644951072553			2.4391775440693975						0.8329888684186378	0.13560800175055943											validation_summary.tsv;method_comparison_by_replicate.tsv	910467374a45b2391a45d5346e8b63f08b373253f3d1b934d1f0ccc100fbcd81;b12643f062ca4e7e68af4d725674c92cc44a99530f1b5a7e0f4f7a6c90ad7d77	independent_program_validation_v3	
independent_validation_08	third_round_v3	figure2_independent_validation.tsv	moricandia		moricandia_leaf_epidermal_v1	leaf	epidermal_system	primary	primary_pass		replicate	2				7	567	3266	0.9633280088475026			0.9381812296577143			2.282742052160685						0.8020149884816143	0.16131302036588824											validation_summary.tsv;method_comparison_by_replicate.tsv	910467374a45b2391a45d5346e8b63f08b373253f3d1b934d1f0ccc100fbcd81;b12643f062ca4e7e68af4d725674c92cc44a99530f1b5a7e0f4f7a6c90ad7d77	independent_program_validation_v3	
independent_validation_09	third_round_v3	figure2_independent_validation.tsv	wheat		wheat_root_stele_v1	root	stele_lineage	primary	primary_fail		pooled					10	1387	2989	0.5797483104958508			0.4108329231706001			0.30914478018410796			0.023952095808383235	3	3	0.5	0.07974831049585085											validation_summary.tsv;method_advantage.tsv;method_comparison_pooled.tsv;method_comparison_by_replicate.tsv	910467374a45b2391a45d5346e8b63f08b373253f3d1b934d1f0ccc100fbcd81;6b3b0861821bdc5bdafbfcc1b54d94b62745108a89b0828e79b39386ee02c19d;cfcce9e01165f93ec89b1b9a09b18654a9acaf78f393352c3065122f293b0b18;b12643f062ca4e7e68af4d725674c92cc44a99530f1b5a7e0f4f7a6c90ad7d77	independent_program_validation_v3	pooled_summary_record_not_replicate_level
independent_validation_10	third_round_v3	figure2_independent_validation.tsv	wheat		wheat_root_stele_v1	root	stele_lineage	primary	primary_fail		replicate	wheat-root-1				10	371	708	0.571927299861422			0.44536535649528847			0.2959990086790402						0.5	0.07192729986142199											validation_summary.tsv;method_comparison_by_replicate.tsv	910467374a45b2391a45d5346e8b63f08b373253f3d1b934d1f0ccc100fbcd81;b12643f062ca4e7e68af4d725674c92cc44a99530f1b5a7e0f4f7a6c90ad7d77	independent_program_validation_v3	
independent_validation_11	third_round_v3	figure2_independent_validation.tsv	wheat		wheat_root_stele_v1	root	stele_lineage	primary	primary_fail		replicate	wheat-root-2				10	557	1293	0.6129316676872151			0.4279924306493513			0.37091183158943347						0.5	0.11293166768721508											validation_summary.tsv;method_comparison_by_replicate.tsv	910467374a45b2391a45d5346e8b63f08b373253f3d1b934d1f0ccc100fbcd81;b12643f062ca4e7e68af4d725674c92cc44a99530f1b5a7e0f4f7a6c90ad7d77	independent_program_validation_v3	
independent_validation_12	third_round_v3	figure2_independent_validation.tsv	wheat		wheat_root_stele_v1	root	stele_lineage	primary	primary_fail		replicate	wheat-root-3				10	459	988	0.5975099891508561			0.42131231405892483			0.3923145053691902						0.5	0.09750998915085607											validation_summary.tsv;method_comparison_by_replicate.tsv	910467374a45b2391a45d5346e8b63f08b373253f3d1b934d1f0ccc100fbcd81;b12643f062ca4e7e68af4d725674c92cc44a99530f1b5a7e0f4f7a6c90ad7d77	independent_program_validation_v3	
independent_validation_13	third_round_v3	figure2_independent_validation.tsv	wheat		wheat_root_xylem_v1	vascular	xylem_lineage	sensitivity_sparse_replicates	sensitivity_support_not_primary		pooled					16	263	2989	0.8814817830142716			0.6146366547158286			1.580936316661677			0.001996007984031936	3	3	0.5	0.3814817830142716											validation_summary.tsv;method_advantage.tsv;method_comparison_pooled.tsv;method_comparison_by_replicate.tsv	910467374a45b2391a45d5346e8b63f08b373253f3d1b934d1f0ccc100fbcd81;6b3b0861821bdc5bdafbfcc1b54d94b62745108a89b0828e79b39386ee02c19d;cfcce9e01165f93ec89b1b9a09b18654a9acaf78f393352c3065122f293b0b18;b12643f062ca4e7e68af4d725674c92cc44a99530f1b5a7e0f4f7a6c90ad7d77	independent_program_validation_v3	pooled_summary_record_not_replicate_level
independent_validation_14	third_round_v3	figure2_independent_validation.tsv	wheat		wheat_root_xylem_v1	vascular	xylem_lineage	sensitivity_sparse_replicates	sensitivity_support_not_primary		replicate	wheat-root-1				16	59	708	0.9663171502441827			0.8691414592409114			2.9211465512872223						0.5	0.46631715024418274											validation_summary.tsv;method_comparison_by_replicate.tsv	910467374a45b2391a45d5346e8b63f08b373253f3d1b934d1f0ccc100fbcd81;b12643f062ca4e7e68af4d725674c92cc44a99530f1b5a7e0f4f7a6c90ad7d77	independent_program_validation_v3	
