dataset_id	standardized_object_filename	object_size_bytes	direct_source_object_sha256	checksum_scope
Brassica rapa_PRJCA009630	Brassica rapa_PRJCA009630.h5ad	349302816	c7edfb3b4a326c08289f0d82bdc67f71f4bf1c2eb4da752c37145132d1b73ccc	standardized_h5ad_object
Catharanthus roseus_PRJNA759937	Catharanthus roseus_PRJNA759937.h5ad	568346931	25b889ddea01ef8f973c4b02ac7d06ea42cf899d732bc7bb3d17f413e64a5832	standardized_h5ad_object
Catharanthus roseus_PRJNA847226_Leaf	Catharanthus roseus_PRJNA847226_Leaf.h5ad	57516154	5a9fe08ab58cdffa784f91305c5cb76604ae5584f50e29fd7594787cc770e623	standardized_h5ad_object
Catharanthus roseus_PRJNA847226_Root	Catharanthus roseus_PRJNA847226_Root.h5ad	11377596	9494462a03b973124e122a2f1e86b928f8a20108a9d71a1c8714d2a4805f1ec7	standardized_h5ad_object
Glycine max_GSE234864_Shoot	Glycine max_GSE234864_Shoot.h5ad	81826714	1a84f25ac78725a214ebd7bc1e68e6f2eddb950a1e033888b401db882e66c7a2	standardized_h5ad_object
Glycine max_GSE234864_TrifoliateLeaf	Glycine max_GSE234864_TrifoliateLeaf.h5ad	92723298	0f42c6e36453da589bfb0fe03e1fee85328cb9093b14975cd1f41019f704d542	standardized_h5ad_object
Glycine max_GSE234864_TrueLeaf	Glycine max_GSE234864_TrueLeaf.h5ad	135093239	f4b28c43049d6afc58115b89cf9bccdad90df43fcf0724b38ac9ab853f6f2f64	standardized_h5ad_object
Glycine max_PRJCA009893	Glycine max_PRJCA009893.h5ad	182853586	1ef60cc75ddca7700c56294b8326a3d58cdec45227e0601b1de99d18ed9adde5	standardized_h5ad_object
Glycine max_PRJNA1124403_Nodule	Glycine max_PRJNA1124403_Nodule.h5ad	67051122	9da29e5518837addf42fc55d7c536c8e81397d975d878357d15570abf790c2d5	standardized_h5ad_object
Glycine max_PRJNA1124403_Root	Glycine max_PRJNA1124403_Root.h5ad	296817043	3ca53c521dbdff25e7006498ca4c09a50987ff1e861a6de0467dfb0d752a9467	standardized_h5ad_object
Glycine max_PRJNA1124403_Stem	Glycine max_PRJNA1124403_Stem.h5ad	169851888	eee51d481ad360becd66cf5d4910f9b4a04906e058f4424bc46c8ef80221909c	standardized_h5ad_object
Oryza sativa_PRJNA609092	Oryza sativa_PRJNA609092.h5ad	645381850	56c3156877c9e3d319cb34758ec9b4f2e191936b03aa24b58ce735d25c97cbec	standardized_h5ad_object
Oryza sativa_PRJNA706435	Oryza sativa_PRJNA706435.h5ad	283970158	7aa6fd65c044231876996948711fba4c6dd1f01f0540f008ffb5fddf9a540ebb	standardized_h5ad_object
Sorghum bicolor_PRJNA935359	Sorghum bicolor_PRJNA935359.h5ad	145946493	ff9bb9107fcb740b475972d33787c65e51c2cb216201ddb1751ab48d1ab08965	standardized_h5ad_object
