dataset_id	accession	species	panel	tissue	feature_namespace	total_features	gene_mapped_features	mapped_features	mapping_fraction	mapping_fraction_recomputed	fraction_absolute_difference	reference_version	bridge_version	discovery_eligibility	eligibility_reason	matrix_layer	matrix_type	expression_dtype	source_h5ad_path	source_annotation_path	source_annotation_sha256	mapping_source_path	mapping_source_sha256	missing_value_reason
Arabidopsis thaliana_PRJNA716169	PRJNA716169	Arabidopsis thaliana	leaf	not explicitly recorded in source; annotation labels include root and shoot meristem initials	standardized H5AD var_names mapped to species reference-gene candidates	2000	1999	1895	0.9475	0.9475	0.0	reference_longest_protein_v1	gene_mapping_candidates_v1 + gene_orthogroup_candidates_v1	excluded	fewer_than_two_candidate_labels_with_100_cells	X	scaled_continuous;dense	float32	/data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_PRJNA716169.h5ad	data_raw/Arabidopsis thaliana_PRJNA716169.anno.csv	2e9a12c6762ec579df4bf61a8e3d19f8eb339d1cf728c2bc1237593a67e5ebe5	/workspace/projects/PhyloOpenCell/metadata/gene_mapping_candidate_summary.tsv;/workspace/projects/PhyloOpenCell/metadata/dataset_orthogroup_coverage_v1.tsv	c1b43878a37f9df6b71d43837c126fa75978f4fbf274dbe36de802713efc926f;5bf556f16a0a3dc2bc78cea55cd5a1e852aef9f302ee79aee0e1baf98f8104b3	
Arabidopsis thaliana_PRJNA716169	PRJNA716169	Arabidopsis thaliana	root	not explicitly recorded in source; annotation labels include root and shoot meristem initials	standardized H5AD var_names mapped to species reference-gene candidates	2000	1999	1895	0.9475	0.9475	0.0	reference_longest_protein_v1	gene_mapping_candidates_v1 + gene_orthogroup_candidates_v1	excluded	fewer_than_two_candidate_labels_with_100_cells	X	scaled_continuous;dense	float32	/data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_PRJNA716169.h5ad	data_raw/Arabidopsis thaliana_PRJNA716169.anno.csv	2e9a12c6762ec579df4bf61a8e3d19f8eb339d1cf728c2bc1237593a67e5ebe5	/workspace/projects/PhyloOpenCell/metadata/gene_mapping_candidate_summary.tsv;/workspace/projects/PhyloOpenCell/metadata/dataset_orthogroup_coverage_v1.tsv	c1b43878a37f9df6b71d43837c126fa75978f4fbf274dbe36de802713efc926f;5bf556f16a0a3dc2bc78cea55cd5a1e852aef9f302ee79aee0e1baf98f8104b3	
Arabidopsis thaliana_PRJNA716169	PRJNA716169	Arabidopsis thaliana	vascular	not explicitly recorded in source; annotation labels include root and shoot meristem initials	standardized H5AD var_names mapped to species reference-gene candidates	2000	1999	1895	0.9475	0.9475	0.0	reference_longest_protein_v1	gene_mapping_candidates_v1 + gene_orthogroup_candidates_v1	excluded	fewer_than_two_candidate_labels_with_100_cells	X	scaled_continuous;dense	float32	/data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_PRJNA716169.h5ad	data_raw/Arabidopsis thaliana_PRJNA716169.anno.csv	2e9a12c6762ec579df4bf61a8e3d19f8eb339d1cf728c2bc1237593a67e5ebe5	/workspace/projects/PhyloOpenCell/metadata/gene_mapping_candidate_summary.tsv;/workspace/projects/PhyloOpenCell/metadata/dataset_orthogroup_coverage_v1.tsv	c1b43878a37f9df6b71d43837c126fa75978f4fbf274dbe36de802713efc926f;5bf556f16a0a3dc2bc78cea55cd5a1e852aef9f302ee79aee0e1baf98f8104b3	
Arabidopsis thaliana_PRJNA730707	PRJNA730707	Arabidopsis thaliana	leaf		standardized H5AD var_names mapped to species reference-gene candidates	20964	20528	18744	0.8941041785918717	0.8941041785918717	0.0	reference_longest_protein_v1	gene_mapping_candidates_v1 + gene_orthogroup_candidates_v1	excluded	fewer_than_two_candidate_labels_with_100_cells	X	nonnegative_integer_unverified;csr	int64	/data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_PRJNA730707.h5ad	/root/autodl-tmp/project/plant-cell/data_raw/Arabidopsis thaliana_PRJNA730707.anno.csv	36a56938fdefe29a23a22d94005baa5b650c7ebc39b14b987d02b55d8829192a	/workspace/projects/PhyloOpenCell/metadata/gene_mapping_candidate_summary.tsv;/workspace/projects/PhyloOpenCell/metadata/dataset_orthogroup_coverage_v1.tsv	c1b43878a37f9df6b71d43837c126fa75978f4fbf274dbe36de802713efc926f;5bf556f16a0a3dc2bc78cea55cd5a1e852aef9f302ee79aee0e1baf98f8104b3	
Arabidopsis thaliana_PRJNA730707	PRJNA730707	Arabidopsis thaliana	root		standardized H5AD var_names mapped to species reference-gene candidates	20964	20528	18744	0.8941041785918717	0.8941041785918717	0.0	reference_longest_protein_v1	gene_mapping_candidates_v1 + gene_orthogroup_candidates_v1	excluded	fewer_than_two_candidate_labels_with_100_cells	X	nonnegative_integer_unverified;csr	int64	/data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_PRJNA730707.h5ad	/root/autodl-tmp/project/plant-cell/data_raw/Arabidopsis thaliana_PRJNA730707.anno.csv	36a56938fdefe29a23a22d94005baa5b650c7ebc39b14b987d02b55d8829192a	/workspace/projects/PhyloOpenCell/metadata/gene_mapping_candidate_summary.tsv;/workspace/projects/PhyloOpenCell/metadata/dataset_orthogroup_coverage_v1.tsv	c1b43878a37f9df6b71d43837c126fa75978f4fbf274dbe36de802713efc926f;5bf556f16a0a3dc2bc78cea55cd5a1e852aef9f302ee79aee0e1baf98f8104b3	
Arabidopsis thaliana_PRJNA730707	PRJNA730707	Arabidopsis thaliana	vascular		standardized H5AD var_names mapped to species reference-gene candidates	20964	20528	18744	0.8941041785918717	0.8941041785918717	0.0	reference_longest_protein_v1	gene_mapping_candidates_v1 + gene_orthogroup_candidates_v1	excluded	fewer_than_two_candidate_labels_with_100_cells	X	nonnegative_integer_unverified;csr	int64	/data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_PRJNA730707.h5ad	/root/autodl-tmp/project/plant-cell/data_raw/Arabidopsis thaliana_PRJNA730707.anno.csv	36a56938fdefe29a23a22d94005baa5b650c7ebc39b14b987d02b55d8829192a	/workspace/projects/PhyloOpenCell/metadata/gene_mapping_candidate_summary.tsv;/workspace/projects/PhyloOpenCell/metadata/dataset_orthogroup_coverage_v1.tsv	c1b43878a37f9df6b71d43837c126fa75978f4fbf274dbe36de802713efc926f;5bf556f16a0a3dc2bc78cea55cd5a1e852aef9f302ee79aee0e1baf98f8104b3	
Arabidopsis thaliana_PRJNA742744	PRJNA742744	Arabidopsis thaliana	leaf		standardized H5AD var_names mapped to species reference-gene candidates	23548	22812	20457	0.8687361984032614	0.8687361984032614	0.0	reference_longest_protein_v1	gene_mapping_candidates_v1 + gene_orthogroup_candidates_v1	excluded	fewer_than_two_candidate_labels_with_100_cells	X	nonnegative_integer_unverified;csr	int64	/data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_PRJNA742744.h5ad	/root/autodl-tmp/project/plant-cell/data_raw/Arabidopsis thaliana_PRJNA742744.anno.csv	7901c23938e28b9c8dc37301b7f1367f06bf4a12547d385e77fe1df0bb19c9ea	/workspace/projects/PhyloOpenCell/metadata/gene_mapping_candidate_summary.tsv;/workspace/projects/PhyloOpenCell/metadata/dataset_orthogroup_coverage_v1.tsv	c1b43878a37f9df6b71d43837c126fa75978f4fbf274dbe36de802713efc926f;5bf556f16a0a3dc2bc78cea55cd5a1e852aef9f302ee79aee0e1baf98f8104b3	
Arabidopsis thaliana_PRJNA742744	PRJNA742744	Arabidopsis thaliana	root		standardized H5AD var_names mapped to species reference-gene candidates	23548	22812	20457	0.8687361984032614	0.8687361984032614	0.0	reference_longest_protein_v1	gene_mapping_candidates_v1 + gene_orthogroup_candidates_v1	eligible	passes_provisional_panel_gates	X	nonnegative_integer_unverified;csr	int64	/data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_PRJNA742744.h5ad	/root/autodl-tmp/project/plant-cell/data_raw/Arabidopsis thaliana_PRJNA742744.anno.csv	7901c23938e28b9c8dc37301b7f1367f06bf4a12547d385e77fe1df0bb19c9ea	/workspace/projects/PhyloOpenCell/metadata/gene_mapping_candidate_summary.tsv;/workspace/projects/PhyloOpenCell/metadata/dataset_orthogroup_coverage_v1.tsv	c1b43878a37f9df6b71d43837c126fa75978f4fbf274dbe36de802713efc926f;5bf556f16a0a3dc2bc78cea55cd5a1e852aef9f302ee79aee0e1baf98f8104b3	
Arabidopsis thaliana_PRJNA742744	PRJNA742744	Arabidopsis thaliana	vascular		standardized H5AD var_names mapped to species reference-gene candidates	23548	22812	20457	0.8687361984032614	0.8687361984032614	0.0	reference_longest_protein_v1	gene_mapping_candidates_v1 + gene_orthogroup_candidates_v1	excluded	fewer_than_two_candidate_labels_with_100_cells	X	nonnegative_integer_unverified;csr	int64	/data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_PRJNA742744.h5ad	/root/autodl-tmp/project/plant-cell/data_raw/Arabidopsis thaliana_PRJNA742744.anno.csv	7901c23938e28b9c8dc37301b7f1367f06bf4a12547d385e77fe1df0bb19c9ea	/workspace/projects/PhyloOpenCell/metadata/gene_mapping_candidate_summary.tsv;/workspace/projects/PhyloOpenCell/metadata/dataset_orthogroup_coverage_v1.tsv	c1b43878a37f9df6b71d43837c126fa75978f4fbf274dbe36de802713efc926f;5bf556f16a0a3dc2bc78cea55cd5a1e852aef9f302ee79aee0e1baf98f8104b3	
Arabidopsis thaliana_PRJNA745175	PRJNA745175	Arabidopsis thaliana	leaf		standardized H5AD var_names mapped to species reference-gene candidates	2000	2000	1878	0.939	0.939	0.0	reference_longest_protein_v1	gene_mapping_candidates_v1 + gene_orthogroup_candidates_v1	excluded	fewer_than_two_candidate_labels_with_100_cells	X	scaled_continuous;dense	float32	/data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_PRJNA745175.h5ad	/root/autodl-tmp/project/plant-cell/data_raw/Arabidopsis thaliana_PRJNA745175.anno.csv	b74df459a9db7acfb95e629124b5e4d7ba088d9c589c21810b41eb428c283e6a	/workspace/projects/PhyloOpenCell/metadata/gene_mapping_candidate_summary.tsv;/workspace/projects/PhyloOpenCell/metadata/dataset_orthogroup_coverage_v1.tsv	c1b43878a37f9df6b71d43837c126fa75978f4fbf274dbe36de802713efc926f;5bf556f16a0a3dc2bc78cea55cd5a1e852aef9f302ee79aee0e1baf98f8104b3	
