record_id	dataset_id	accession	species	tissue	panel	source_label_field	source_label	ontology_id	governed_level	governed_label	parent_label	mapping_status	mapping_reason	cells_n	source_authority	source_path	source_hash	coverage_scope	gap_flags
Arabidopsis thaliana_PRJNA594539|Root endodermis|root	Arabidopsis thaliana_PRJNA594539	PRJNA594539	Arabidopsis thaliana		root	cell_type_original	Root endodermis	PO:0005059	pilot_major_cell_family	ground_tissue	root	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels; passes_base_gates	1038	standardized_h5ad_obs;panel_dataset_label_counts_v1;panel_label_freeze_v1;coarse_label_hierarchy_v1	internal_source_record:not_publicly_portable:data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_PRJNA594539.h5ad;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/panel_dataset_label_counts_v1.tsv.gz;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/panel_label_freeze_v1.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/coarse_label_hierarchy_v1.tsv	7ffeb5ce96d7f067af07f3dd2339ca5ffccf6457c643d56ae20cc7be170afe2e;a4bd8efca65e1175053b97dc0836fe8306417dd993d7a864389a5281d37302ea;78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb	complete standardized dataset-label count with panel-specific governed mapping	
Arabidopsis thaliana_PRJNA594539|Root hair cell|root	Arabidopsis thaliana_PRJNA594539	PRJNA594539	Arabidopsis thaliana		root	cell_type_original	Root hair cell	PO:0000256	pilot_major_cell_family	epidermal_system	root	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels; passes_base_gates	1225	standardized_h5ad_obs;panel_dataset_label_counts_v1;panel_label_freeze_v1;coarse_label_hierarchy_v1	internal_source_record:not_publicly_portable:data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_PRJNA594539.h5ad;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/panel_dataset_label_counts_v1.tsv.gz;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/panel_label_freeze_v1.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/coarse_label_hierarchy_v1.tsv	7ffeb5ce96d7f067af07f3dd2339ca5ffccf6457c643d56ae20cc7be170afe2e;a4bd8efca65e1175053b97dc0836fe8306417dd993d7a864389a5281d37302ea;78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb	complete standardized dataset-label count with panel-specific governed mapping	
Arabidopsis thaliana_PRJNA594539|Root initial cell|	Arabidopsis thaliana_PRJNA594539	PRJNA594539	Arabidopsis thaliana			cell_type_original	Root initial cell	PO:0000059				unmapped	candidate_auto_exact; exact_name; Plant Ontology exact lexical match; requires curator acceptance	935	standardized_h5ad_obs;ontology_mapping_candidates;panel_label_freeze_v1	internal_source_record:not_publicly_portable:data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_PRJNA594539.h5ad;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/ontology_mapping_candidates.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/panel_label_freeze_v1.tsv	7ffeb5ce96d7f067af07f3dd2339ca5ffccf6457c643d56ae20cc7be170afe2e;e4a09d28939b9a165661f86d5a2f4fb0c1d33fea1c7465dcc7cf874f0a8238bc;78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321	complete standardized dataset-label count; no governed panel mapping	not_in_governed_panel_hierarchy
Arabidopsis thaliana_PRJNA594539|Root meristem|	Arabidopsis thaliana_PRJNA594539	PRJNA594539	Arabidopsis thaliana			cell_type_original	Root meristem	PO:0006085				unmapped	candidate_auto_exact; exact_name; Plant Ontology exact lexical match; requires curator acceptance	1292	standardized_h5ad_obs;ontology_mapping_candidates;panel_label_freeze_v1	internal_source_record:not_publicly_portable:data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_PRJNA594539.h5ad;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/ontology_mapping_candidates.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/panel_label_freeze_v1.tsv	7ffeb5ce96d7f067af07f3dd2339ca5ffccf6457c643d56ae20cc7be170afe2e;e4a09d28939b9a165661f86d5a2f4fb0c1d33fea1c7465dcc7cf874f0a8238bc;78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321	complete standardized dataset-label count; no governed panel mapping	not_in_governed_panel_hierarchy
Arabidopsis thaliana_PRJNA594539|Root procambium|root	Arabidopsis thaliana_PRJNA594539	PRJNA594539	Arabidopsis thaliana		root	cell_type_original	Root procambium	PO:0006307	pilot_major_cell_family	stele_lineage	root	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels; passes_base_gates	1193	standardized_h5ad_obs;panel_dataset_label_counts_v1;panel_label_freeze_v1;coarse_label_hierarchy_v1	internal_source_record:not_publicly_portable:data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_PRJNA594539.h5ad;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/panel_dataset_label_counts_v1.tsv.gz;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/panel_label_freeze_v1.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/coarse_label_hierarchy_v1.tsv	7ffeb5ce96d7f067af07f3dd2339ca5ffccf6457c643d56ae20cc7be170afe2e;a4bd8efca65e1175053b97dc0836fe8306417dd993d7a864389a5281d37302ea;78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb	complete standardized dataset-label count with panel-specific governed mapping	
Arabidopsis thaliana_PRJNA594539|Root procambium|vascular	Arabidopsis thaliana_PRJNA594539	PRJNA594539	Arabidopsis thaliana		vascular	cell_type_original	Root procambium	PO:0006307	pilot_major_cell_family	procambial_lineage	vascular	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels; passes_base_gates	1193	standardized_h5ad_obs;panel_dataset_label_counts_v1;panel_label_freeze_v1;coarse_label_hierarchy_v1	internal_source_record:not_publicly_portable:data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_PRJNA594539.h5ad;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/panel_dataset_label_counts_v1.tsv.gz;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/panel_label_freeze_v1.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/coarse_label_hierarchy_v1.tsv	7ffeb5ce96d7f067af07f3dd2339ca5ffccf6457c643d56ae20cc7be170afe2e;a4bd8efca65e1175053b97dc0836fe8306417dd993d7a864389a5281d37302ea;78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb	complete standardized dataset-label count with panel-specific governed mapping	
Arabidopsis thaliana_PRJNA594539|Xylem pole pericycle cell|	Arabidopsis thaliana_PRJNA594539	PRJNA594539	Arabidopsis thaliana			cell_type_original	Xylem pole pericycle cell	PO:0000064				unmapped	candidate_auto_exact; exact_name; Plant Ontology exact lexical match; requires curator acceptance	710	standardized_h5ad_obs;ontology_mapping_candidates;panel_label_freeze_v1	internal_source_record:not_publicly_portable:data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_PRJNA594539.h5ad;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/ontology_mapping_candidates.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/panel_label_freeze_v1.tsv	7ffeb5ce96d7f067af07f3dd2339ca5ffccf6457c643d56ae20cc7be170afe2e;e4a09d28939b9a165661f86d5a2f4fb0c1d33fea1c7465dcc7cf874f0a8238bc;78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321	complete standardized dataset-label count; no governed panel mapping	not_in_governed_panel_hierarchy
Arabidopsis thaliana_PRJNA605594|Bundle sheath cell|	Arabidopsis thaliana_PRJNA605594	PRJNA605594	Arabidopsis thaliana			cell_type_original	Bundle sheath cell	PO:0025541				unmapped	candidate_auto_exact; exact_name; Plant Ontology exact lexical match; requires curator acceptance	2985	standardized_h5ad_obs;ontology_mapping_candidates;panel_label_freeze_v1	internal_source_record:not_publicly_portable:data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_PRJNA605594.h5ad;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/ontology_mapping_candidates.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/panel_label_freeze_v1.tsv	7886cc894700ce70b4b6177445aca02d1854266a9c83e982cd69ecbdc9f3531d;e4a09d28939b9a165661f86d5a2f4fb0c1d33fea1c7465dcc7cf874f0a8238bc;78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321	complete standardized dataset-label count; no governed panel mapping	not_in_governed_panel_hierarchy
Arabidopsis thaliana_PRJNA605594|Companion cell|	Arabidopsis thaliana_PRJNA605594	PRJNA605594	Arabidopsis thaliana			cell_type_original	Companion cell	PO:0000071				unmapped	candidate_auto_exact; exact_name; Plant Ontology exact lexical match; requires curator acceptance	713	standardized_h5ad_obs;ontology_mapping_candidates;panel_label_freeze_v1	internal_source_record:not_publicly_portable:data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_PRJNA605594.h5ad;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/ontology_mapping_candidates.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/panel_label_freeze_v1.tsv	7886cc894700ce70b4b6177445aca02d1854266a9c83e982cd69ecbdc9f3531d;e4a09d28939b9a165661f86d5a2f4fb0c1d33fea1c7465dcc7cf874f0a8238bc;78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321	complete standardized dataset-label count; no governed panel mapping	not_in_governed_panel_hierarchy
Arabidopsis thaliana_PRJNA605594|Leaf guard cell|	Arabidopsis thaliana_PRJNA605594	PRJNA605594	Arabidopsis thaliana			cell_type_original	Leaf guard cell	PO:0025237				unmapped	candidate_auto_exact; exact_name; Plant Ontology exact lexical match; requires curator acceptance	684	standardized_h5ad_obs;ontology_mapping_candidates;panel_label_freeze_v1	internal_source_record:not_publicly_portable:data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_PRJNA605594.h5ad;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/ontology_mapping_candidates.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/panel_label_freeze_v1.tsv	7886cc894700ce70b4b6177445aca02d1854266a9c83e982cd69ecbdc9f3531d;e4a09d28939b9a165661f86d5a2f4fb0c1d33fea1c7465dcc7cf874f0a8238bc;78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321	complete standardized dataset-label count; no governed panel mapping	not_in_governed_panel_hierarchy
